Date,Type,Description,Category,Amount,Balance,Note
02-28-2025,"Deposit","INTEREST PAID","",0.18,2119.9,""
02-12-2025,"Priority Post Debit","3500 VSA PUR OFFICEMAX DEPOT 6470 GADSDEN AL","",-163.75,2119.72,""
02-11-2025,"Priority Post Debit","3500 VSA PUR USPS PO 0133300651 GADSDEN AL","",-73,2283.47,""
02-10-2025,"Priority Post Debit","3500 VSA PUR USPS PO 0133300651 GADSDEN AL","",-244,2356.47,""
02-10-2025,"Priority Post Debit","3500 VSA PUR VOIP.MS VOIP.MS TERREBONNE CA","",-15,2600.47,""
02-10-2025,"Miscellaneous Charge","3500 CROSS BORDER FEE VOIP.MS VOIP.MS TERREBONNE CA","",-0.15,2615.47,""
02-04-2025,"Deposit","VETERANS OF WARS PAYMENT","",20,2615.62,""
01-31-2025,"Deposit","INTEREST PAID","",0.14,2595.62,""
01-22-2025,"On-Us Check","CK # 3759","",-400,2595.48,""
01-22-2025,"Deposit","Deposit","",2000,2995.48,""
01-09-2025,"Deposit","VETERANS OF WARS PAYMENT","",24,995.48,""
01-07-2025,"Deposit","VETERANS OF WARS PAYMENT","",7.54,971.48,""
01-03-2025,"On-Us Check","CK # 3758","",-1728,963.94,""
